Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d13_40_G05_1_4_S,glasshouse_b1,Hartog,T1,R4,S,3047,1612,1459,72,1113.805556,1143.111111,4813,1645,1591,4813,1645,1591,3047,1614.264851,1456.906465,1678,1644.75447,1842.983909,388850,1904.489592,1469.421687,1725,1645.045797,1839.321739,3140,1122.892357,1125.606051
d13_41_G06_0_1_S,glasshouse_b1,3811,T0,R1,S,5691,1517,1821,56,1506.5,1270.357143,11705,1409,1809,12471,1421,1753,5691,1514.499385,1820.622738,6296,1406.695203,1702.780654,511150,1791.962796,1618.398728,4036,1636.047324,292.7601586,5691,1514.499385,1820.622738
d13_42_G06_0_2_S,glasshouse_b1,3811,T0,R2,S,4611,1904,2348,71,1905.43662,2350.943662,16730,1065,1269,17264,1066,1270,4611,1904.528085,2347.709174,7776,876.586677,1643.502572,375672,861.1020757,1297.371641,8291,1433.953443,468.8024364,4611,1904.528085,2347.709174
d13_43_G06_0_3_S,glasshouse_b1,3811,T0,R3,S,6279,1386,1852,66,1437.333333,2254.545455,12516,1409,2020,14854,1611,1690,6279,1421.893932,1850.245103,5876,1528.187883,1667.339517,366993,1454.222615,1591.050391,6320,1639.292405,390.0906646,6233,1420.660677,1853.876143
d13_44_G06_0_4_S,glasshouse_b1,3811,T0,R4,S,8633,1049,1511,68,1210.014706,606.6911765,18848,1148,1294,18846,1148,1294,8633,1066.506429,1522.215684,8544,1114.629331,889.4015684,417021,840.2234036,917.4065742,13287,1641.450365,426.9914202,8580,1065.486014,1524.539277
d13_45_G06_1_1_S,glasshouse_b1,3811,T1,R1,S,3653,1529,1252,63,1439.174603,1380.68254,10040,1557,1500,10051,1557,1500,3653,1524.546126,1251.726526,4035,1501.728377,1254.954399,372024,1025.397703,1465.303738,4698,928.1796509,853.9957429,3653,1524.546126,1251.726526
d13_46_G06_1_2_S,glasshouse_b1,3811,T1,R2,S,4774,1636,1478,61,1599.885246,539.295082,7197,1633,1748,8216,1647,1287,4774,1648.798282,1477.826142,3643,1646.293988,1384.659621,364496,1460.114937,1019.497525,2642,1150.447767,1824.698713,4774,1648.798282,1477.826142
d13_47_G06_1_3_S,glasshouse_b1,3811,T1,R3,S,4564,1182,1435,66,1520.409091,390.3787879,8767,1423,1584,10170,1421,1506,4564,1182.268624,1434.948072,3798,1555.249868,819.2116904,451821,1419.415924,1111.213253,4036,1554.601338,350.3481169,4564,1182.268624,1434.948072
d13_48_G06_1_4_S,glasshouse_b1,3811,T1,R4,S,7729,1249,1498,71,1489.661972,430.4507042,10974,1242,1654,13314,1265,1416,7729,1280.461767,1503.77992,4748,1385.03412,1000.11984,435809,1428.041672,1113.241633,3978,1627.53821,352.0751634,7729,1280.461767,1503.77992
d17_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,11128,2179,2474,59,2067.254237,2044.084746,21457,2177,2395,21770,2174,2381,11128,2147.411844,2487.735442,7736,2253.189891,2372.569545,347146,2028.961846,1606.59265,14015,2329.90132,2688.06122,7994,873.2275457,2371.582562
d17_02_G01_0_2_T,glasshouse_b1,Gladius,T0,R2,T,7456,1719,2199,67,1940.850746,2976.731343,16863,1740,1967,16767,1740,1967,7456,1748.668723,2198.753755,8096,1914.173419,2480.97542,363686,2019.568928,1584.851507,12947,1922.278675,1766.058237,6434,2070.858253,2727.176251
d17_03_G01_0_3_T,glasshouse_b1,Gladius,T0,R3,T,13142,1311,1773,82,1253.97561,1997.060976,16575,1477,1718,16587,1477,1718,13142,1310.735352,1773.441029,8339,1406.415637,1529.995203,422038,1419.700143,1134.536338,10220,1456.850978,1370.058121,16204,1356.291163,1635.943347
d17_04_G01_0_4_T,glasshouse_b1,Gladius,T0,R4,T,18948,1989,2649,54,1517.592593,960.6111111,17551,2054,2823,20444,1665,2011,18948,2007.423686,2641.554043,8328,1940.811479,3164.254203,558120,1668.372475,2300.113549,10877,1568.791027,852.3628758,17144,2002.641799,2724.196979
