Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y
d41_29_G04_1_1_S,augment_bootstrap,Forrest,T1,R1,S,3039.465312,2211.981553,3594.542679,47.51051866,939.4455595,3448.953067,10737.23282,821.657997,3933.110662,9583.01799,826.3913682,3684.318196,2625.64577,2215.730382,3634.356683,7065.201084,869.3929741,3710.044872,388028.4883,878.0315195,3308.145694,4620.027494,863.4986202,3737.753692,4172.884735,972.5694822,3328.317358
d31_48_G06_1_4_S,augment_bootstrap,3811,T1,R4,S,21036.5232,1439.169667,3210.689598,70.64768486,1661.711991,1377.673736,23694.1206,1427.43922,3395.991919,25103.41465,1329.18548,3317.190662,18458.23257,1463.892429,3189.908707,12140.48396,1434.17437,2804.833097,704444.3116,1468.369265,2671.455198,9750.587214,1661.515102,3972.512436,19691.37488,1451.317412,3173.4229
d33_19_G03_0_3_T,augment_bootstrap,CALINGIRI,T0,R3,T,9265.795422,1504.569626,3128.050135,47.04134612,1530.006901,1013.8963,36980.73312,1492.717119,2485.6596,35970.25248,1476.335842,2552.527103,10058.07917,1463.63061,3155.318922,17297.79979,1413.326947,3296.549788,642888.5381,1531.335794,2448.588965,24319.00164,1545.926483,1107.237709,9774.101964,1473.15485,3192.262484
d11_27_G04_0_3_S,augment_bootstrap,Forrest,T0,R3,S,5633.566677,1442.796408,589.8071335,57.83964073,1354.40144,745.6788436,9685.077717,1464.878239,461.253355,8153.756197,1461.705641,472.225777,3885.584577,1415.427263,584.3004991,5306.641539,1387.263559,420.1508034,392972.751,1819.034122,312.8168889,4293.647021,1350.003689,388.5983239,3588.917278,945.209296,1633.811355
d09_04_G01_0_4_T,augment_bootstrap,Gladius,T0,R4,T,4063.321491,1657.31617,843.4799078,58.01677835,1577.344936,686.995623,15145.24778,1648.474182,772.3766101,13903.7447,1924.423901,1188.745677,4358.852598,1655.600984,833.461735,5570.327891,1724.148618,1224.676303,381314.5265,1453.34622,345.1005347,11151.71127,1614.128029,410.1350636,6284.357479,1414.832349,669.5292387
d49_47_G06_1_3_S,augment_bootstrap,3811,T1,R3,S,5926.16844,984.9974905,3338.726679,74.97942812,1120.634737,3343.464668,52611.88338,1326.402805,3893.219537,54821.58115,1338.730526,3848.556139,6134.272013,962.070169,3297.041131,24910.88865,1770.656096,2223.786096,326756.3403,873.4290875,4283.358273,21947.20653,1599.591931,3877.349328,5991.85249,1150.652764,4575.236992
d43_01_G01_0_1_T,augment_bootstrap,Gladius,T0,R1,T,8427.248344,2174.09922,2488.28382,56.32607927,2444.964631,2190.354649,68532.27355,1327.612732,3791.314834,58854.35204,1136.855948,3414.964763,10376.07408,2170.556435,2553.181324,26880.20757,2077.102514,4222.214459,430457.9644,2398.376944,2148.369888,26843.29993,764.5124217,2916.074592,7420.844105,509.5315318,3105.515779
d07_46_G06_1_2_S,augment_bootstrap,3811,T1,R2,S,2572.541645,1369.464024,668.3438094,80.81679583,1663.049034,383.3167381,4826.37674,1593.76815,516.4861424,8069.458669,1586.063767,535.0126173,2436.887693,1379.548894,731.3944326,1502.337176,1597.795943,413.6568455,408187.7371,1456.317788,351.3669976,729.3635275,1565.765859,337.3352488,1571.428265,1367.638099,666.6458292
d41_13_G02_1_1_T,augment_bootstrap,5489,T1,R1,T,7393.11843,1268.39865,2046.306533,62.8490912,1281.666892,1450.985864,33333.57749,1905.225397,1636.58969,30366.34433,1899.759089,2598.758591,8165.659335,1281.171366,2014.66251,16245.49617,2238.727438,1444.247445,549669.9222,1498.591907,1697.054807,16077.78888,2237.859525,1188.778044,7856.891446,1260.981444,2028.699683
d49_48_G06_1_4_S,augment_bootstrap,3811,T1,R4,S,21866.30335,1438.165406,3298.652859,54.7730306,1605.485893,770.2638458,49574.15979,1601.997175,3885.296498,47819.12469,1579.718033,3903.892329,22996.96765,1517.380574,3346.68831,27834.49364,1043.859963,3559.299546,542028.2031,1031.849818,3273.779356,14166.08772,1599.192726,3755.723327,22416.82895,1513.802661,3336.352731
