Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Custom_points,Custom_center_x,Custom_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d29_01_G01_0_1_T,glasshouse_b1,Gladius,T0,R1,T,10559,901,2673,95,2280.357895,3527.105263,25731,2045,2220,36488,2308,2986,9594,2154.238587,2571.223994,15303,2368.009671,2263.981376,364748,2402.833891,3191.697325,18434,2315.173809,3631.518119,7670,912.2919166,2699.074707,257,151,915.461118,0.164944,337.821576,0.404076,0.435429,0.917964,1789.904122,125.175193,1164.126776,145.579778,763.784456,6.096885,33.40473,332.826842,4.274384,104.944054,1045.75435,13.428373,6.444468,116.354391,2.376334
d33_31_G04_1_3_S,glasshouse_b1,Forrest,T1,R3,S,4190,670,3158,73,515.1232877,2875.479452,13249,778,2494,13249,778,2494,4190,651.3307876,3157.791169,7001,820.4862163,2060.179546,193307,2031.402096,3205.231632,4576,2098.161276,3442.72028,3998,657.7531266,3142.551776,138,80,431.153837,0.185549,148.097136,0.376721,0.410526,0.821052,842.646706,52.661835,515.511395,99.382053,327.018539,4.753245,23.620614,137.347807,3.123953,74.206346,431.490861,9.814188,4.670526,46.369383,1.621925
d25_39_G05_1_3_S,glasshouse_b1,Hartog,T1,R3,S,4209,1566,2360,64,1591.703125,2457.015625,8451,1586,2303,8470,1586,2303,4209,1573.305773,2362.237349,4987,1571.40766,2493.081612,360302,1887.966004,2061.791253,4765,1710.814481,2086.859811,4209,1573.305773,2362.237349,91,47,296.654051,0.158434,106.095904,0.390965,0.435429,0.725714,580.535012,37.99559,368.028841,46.608618,249.549884,0.495549,11.151606,105.621936,0.340368,35.033804,331.925741,1.069296,2.234836,35.576067,0.184686
d43_28_G04_0_4_S,glasshouse_b2,Forrest,T0,R4,S,5105,1305,579,70,1894.5,3733.542857,39148,1220,932,42213,1499,3284,5105,1305.880313,580.0820764,23490,1461.56275,735.6329928,378109,1452.266262,329.9067147,25397,1403.50187,747.3531519,4813,1314.099314,576.4922086,425,297,1087.113444,0.273201,380.502201,0.39655,0.410526,1.338151,2065.00915,154.361869,1370.176463,257.644374,789.831064,39.638006,58.215673,346.135237,31.789804,182.889931,1087.415918,99.870615,11.033847,122.062757,21.265265
d07_01_G01_0_1_T,glasshouse_b2,Gladius,T0,R1,T,5289,1750,969,69,1751.478261,967.2608696,9738,1652,421,8094,1782,1098,5208,1750.435484,975.2415515,7873,1650.736822,345.2912486,358990,2032.548948,876.5945932,4281,1773.632329,380.6799813,5208,1750.435484,975.2415515,69,41,223.737007,0.183251,80.96363,0.393147,0.435429,0.615789,436.275615,29.295852,277.310903,41.838282,181.650951,0.247774,9.279248,78.838977,0.152577,29.151617,247.679952,0.479334,1.727119,27.494941,0.073792
d2_T008_02.10.23,field,3811,na,R4,S,25361,893,3094,111,1110.783784,1628.378378,167957,969,3034,215173,1048,3501,25358,905.4543734,3097.90157,82241,731.1186878,3270.007186,409270,1251.585166,3123.875466,98335,902.6207454,2935.390268,18454,1242.75317,6260.200878,930,418,2965.232659,0.140967,558.93795,0.209603,0.18932,0.780588,5859.04872,113.053252,1952.831794,2670.942246,292.623125,1.667289,518.990968,101.505041,1.104588,1630.474137,318.887493,3.470164,84.184487,28.2911,0.577664
d27_39_G05_1_3_S,glasshouse_b2,Hartog,T1,R3,S,6115,1501,2578,54,1169.944444,2874.925926,17392,1518,2523,19308,1550,2447,6115,1508.082093,2579.122159,7522,1291.112071,2770.01808,358572,1449.412603,2196.038082,9856,1593.897524,2464.475244,6115,1508.082093,2579.122159,125,63,369.814533,0.170356,126.867422,0.376321,0.410526,0.725714,725.391212,44.478563,442.095367,78.486487,290.802437,0.525609,18.569884,121.765652,0.354481,58.339011,382.642722,1.113635,3.685449,40.604605,0.188509
d5_T008_21.10.23,field,3811,na,R4,S,34460,930,6447,62,980.4354839,5770.419355,169998,978,3015,218424,930,3559,20429,859.9076313,6301.321406,98240,1157.750539,6240.415645,364113,847.4528457,6038.906134,106489,740.8314286,2577.025045,20285,859.6461918,6300.813458,929,431,2931.838746,0.147007,551.235457,0.209091,0.18932,0.766689,5794.310943,111.704513,1926.022972,2641.684323,288.709072,1.44535,510.354848,101.708115,0.978777,1603.374813,319.57324,3.07492,82.318589,28.860895,0.525029
d49_26_G04_0_2_S,glasshouse_b2,Forrest,T0,R2,S,6768,983,3959,53,1254.773585,2404.301887,47007,1541,3681,59927,1534,3283,6768,995.2009456,3962.310727,23250,1584.373892,781.8827957,377795,1451.273389,329.4632142,21938,1591.664144,738.6313246,6578,992.736242,3969.596382,470,324,1198.767184,0.270278,424.299349,0.417298,0.410526,2.177143,2245.993784,209.772822,1584.881955,280.151313,821.993669,96.622202,63.902246,348.284484,92.202025,200.754825,1094.465924,289.661205,12.302465,118.371154,79.099203
d31_06_G01_1_2_T,glasshouse_b2,Gladius,T1,R2,T,5909,1644,774,50,1855.74,610.42,22459,1650,937,20505,1673,868,5909,1652.340328,777.7982738,13243,1735.829344,709.518236,383165,1817.470066,1444.116386,11818,1746.213996,679.3927907,4213,1653.518158,687.6152385,201,135,636.361604,0.212144,209.168772,0.366862,0.324549,0.740086,1234.706309,75.244301,739.603528,241.150825,385.979986,9.230792,61.682535,167.734019,6.006561,193.781399,526.95196,18.870168,12.951764,59.208083,3.084454
