Image_name,data_type,Genotype,Treatment,Replication,Group,DBSCAN_density_points,DBSCAN_center_x,DBSCAN_center_y,Density_points,Density_center_x,Density_center_y,FCM_density_points,FCM_center_x,FCM_center_y,GMM_density_points,GMM_center_x,GMM_center_y,HDBSCAN_density_points,HDBSCAN_center_x,HDBSCAN_center_y,K-mean_density_points,K-mean_center_x,K-mean_center_y,SLIC_density_points,SLIC_center_x,SLIC_center_y,Mean_shift_density_points,Mean-shift_center_x,Mean-shift_center_y,OPTICS_density_points,OPTICS_center_x,OPTICS_center_y,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d4_T024_14.10.23,field,3811,na,R9,S,33782,1175,3803,59,1948.372881,2114.59322,202370,1005,2154,209252,1006,2156,30707,1177.488846,3807.609666,94171,1276.793854,3733.265899,465348,759.4199567,2374.362621,89747,1340.646172,3697.121007,17817,1133.765,3719.113768,1044,519,3566.762148,0.14551,649.509454,0.202613,0.18932,0.72833,7038.466437,125.519703,2272.165222,3319.008795,247.267143,0.48621,638.64481,84.280398,0.322376,2006.377768,264.774679,1.012774,102.352568,22.998632,0.168503
d45_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,20463,1406,3494,70,1738.457143,1091.557143,70806,1442,2118,73415,1443,2141,20463,1323.803792,3493.82593,29550,2365.209374,2102.525076,397116,1346.012012,2162.389302,54734,1272.291482,2122.612325,10347,1737.021262,683.479366,795,595,2350.659393,0.25312,843.158287,0.402803,0.410526,1.016,4495.369439,337.084598,2996.572077,671.749208,1588.6143,90.295885,167.239634,722.628494,63.93241,525.398807,2270.323679,200.849591,34.423901,266.716913,35.943784
d09_25_G04_0_1_S,glasshouse_b1,Forrest,T0,R1,S,1918,1534,622,103,1383.271845,290.631068,6599,1239,542,6599,1239,542,1918,1533.023983,622.3196038,2394,1256.732247,466.9632414,360160,1453.587111,767.5277127,3978,1394.749623,311.1895425,3159,1334.768598,324.7730294,47,25,156.340613,0.159907,59.64965,0.418624,0.410526,0.929368,306.441334,23.419529,207.302253,21.906775,131.788185,2.645653,5.363551,58.500363,2.122443,16.850091,183.784311,6.667851,1.089318,20.969074,1.361137
d33_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,22036,1412,3508,58,1215.034483,2368.051724,35266,1298,3122,35501,2435,2346,21217,1329.943347,3466.19852,14661,2787.154492,2596.722188,492955,1432.102017,2215.277153,17147,1293.56523,2576.253222,18756,1348.4783,3624.764769,237,181,1149.892254,0.157406,405.397478,0.39014,0.410526,0.781618,2248.10178,145.792398,1414.208961,235.522969,903.129259,11.240026,61.776918,380.700544,7.679232,194.077911,1196.006032,24.125018,13.187384,128.461316,4.143699
d31_25_G04_0_1_S,glasshouse_b2,Forrest,T0,R1,S,6217,1010,2904,65,1476.876923,846.7846154,26099,944,3150,26491,944,3150,6217,1021.069326,2906.422551,11251,853.9976002,2792.779753,486855,1268.037025,2742.097103,10706,1429.616197,806.6099384,4820,975.8435685,3022.768465,148,90,609.792434,0.147591,221.023916,0.398553,0.435429,0.725714,1192.001165,80.979816,768.564336,85.79609,521.948872,2.047472,19.674632,223.634967,1.298718,61.80968,702.674612,4.080044,3.794221,76.53652,0.649076
d25_19_G03_0_3_T,glasshouse_b1,CALINGIRI,T0,R3,T,11660,1712,2799,56,1546.089286,2908.339286,24583,1485,2384,24454,1423,3645,11660,1749.286707,2809.949914,12835,1414.985197,2988.061628,649859,1516.045411,2416.60135,15295,1460.559464,1195.52697,10064,1464.236188,3105.48599,139,87,917.696648,0.094803,338.706367,0.405849,0.435429,0.649099,1815.912691,122.769824,1173.93342,104.324937,813.196509,0.175203,28.092871,345.468018,0.113724,88.256358,1085.319788,0.357274,6.100428,116.61142,0.057977
d31_40_G05_1_4_S,glasshouse_b2,Hartog,T1,R4,S,11009,2387,3199,66,1553.348485,4291.590909,27151,1665,3469,33771,2392,3151,11009,2374.050686,3201.709329,14968,2130.960249,3044.503407,405051,2193.155711,2694.856524,15217,2446.994546,2670.686141,10879,2373.780586,3201.379447,168,98,742.061644,0.132065,277.945461,0.407902,0.435429,0.870857,1457.791273,103.358864,955.403257,104.195785,631.384236,6.481623,23.865252,275.379935,4.869115,74.9749,865.13158,15.296777,4.613592,95.855414,2.889858
d17_07_G01_1_3_T,glasshouse_b1,Gladius,T1,R3,T,10225,1285,1985,56,1264.875,2193.303571,14627,1379,1806,15188,1330,2663,10225,1304.690562,1991.774181,7164,1254.950307,2333.077331,523294,1391.576464,1373.951584,6702,1458.145628,1405.14712,12928,1343.738707,1837.104811,80,54,551.542606,0.097907,202.822504,0.404829,0.435429,0.725714,1087.876889,73.092375,703.201397,51.918783,499.025642,0.59818,13.828542,209.573307,0.434108,43.443647,658.39396,1.36379,2.982284,69.862661,0.247431
d25_33_G05_0_1_S,glasshouse_b1,Hartog,T0,R1,S,5442,1334,3593,56,1151.75,2098.357143,17518,1188,2802,22637,1241,2632,5442,1340.095921,3591.598677,9627,1160.750909,2365.340293,345098,1454.605127,3076.816803,9484,1161.090046,2356.431569,5442,1340.095921,3591.598677,141,69,557.763359,0.123708,199.320207,0.391555,0.435429,0.725714,1097.884416,71.75778,690.301113,94.518882,459.337186,3.907291,22.266448,195.006964,2.456257,69.952108,612.632446,7.716559,4.391806,66.150126,1.215848
d5_T021_21.10.23,field,Gladius,na,R9,T,27662,117,2252,60,882.5333333,1717.75,169016,1011,1937,170395,1011,1937,27225,122.0458402,2250.547585,102036,1171.68617,5419.01177,428750,307.6361166,3141.463967,111928,1165.511293,5321.229701,25451,123.9222427,2240.26388,1155,359,3254.359299,0.110314,591.047205,0.200633,0.18932,0.644802,6480.003353,113.071498,2056.363606,3032.268543,221.94622,0.144535,579.022823,75.432544,0.090292,1819.053845,237.0261,0.283661,92.48279,20.544388,0.04432
d05_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,1393,1556,989,66,1778.863636,343.8939394,2606,1639,358,2606,1639,358,1393,1556.431443,988.6159368,1170,1791.687179,358.8290598,312446,1464.58493,281.5750146,1691,1773.782377,336.0928445,1471,1581.511897,309.9517335,25,11,82.983931,0.132556,28.07631,0.366086,0.410526,0.580571,163.69236,9.470256,96.836765,16.013017,66.970914,0,3.785556,27.038544,0,11.892674,84.944091,0,0.74502,8.725236,0
d13_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,4072,1240,1302,52,1846.480769,1647.423077,9105,1177,1438,9105,1177,1438,4072,1237.522348,1300.467092,3141,1275.927412,1229.545049,357676,1457.640949,872.9812931,3409,770.1381637,960.4147844,3937,1241.94793,1292.538227,52,26,213.563153,0.121744,80.721366,0.407439,0.435429,0.649099,421.098971,29.245769,275.131832,24.51721,188.973371,0.072571,6.250587,81.279489,0.047106,19.636799,255.347045,0.147988,1.304982,27.916772,0.024015
