Image_name,data_type,Genotype,Treatment,Replication,Group,Number.of.Root.Tips,Number.of.Branch.Points,Total.Root.Length.mm,Branching.frequency.per.mm,Network.Area.mm2,Average.Diameter.mm,Median.Diameter.mm,Maximum.Diameter.mm,Perimeter.mm,Volume.mm3,Surface.Area.mm2,Root.Length.Diameter.Range.1.mm,Root.Length.Diameter.Range.2.mm,Root.Length.Diameter.Range.3.mm,Projected.Area.Diameter.Range.1.mm2,Projected.Area.Diameter.Range.2.mm2,Projected.Area.Diameter.Range.3.mm2,Surface.Area.Diameter.Range.1.mm2,Surface.Area.Diameter.Range.2.mm2,Surface.Area.Diameter.Range.3.mm2,Volume.Diameter.Range.1.mm3,Volume.Diameter.Range.2.mm3,Volume.Diameter.Range.3.mm3
d09_13_G02_1_1_T,glasshouse_b1,5489,T1,R1,T,76,56,238.240093,0.235057,92.85564,0.424318,0.435429,0.649099,460.601997,35.47452,318.893576,22.61665,215.273037,0.350406,5.179941,96.105425,0.221612,16.273265,301.924097,0.696215,0.988565,34.375799,0.110155
d09_14_G02_1_2_T,glasshouse_b1,5489,T1,R2,T,31,23,150.672229,0.152649,58.691127,0.420848,0.435429,0.580571,294.131078,21.916593,199.499037,14.639317,136.032912,0,3.250789,60.251727,0,10.212654,189.286383,0,0.605273,21.311321,0
d09_15_G02_1_3_T,glasshouse_b1,5489,T1,R3,T,30,18,110.256719,0.163255,40.105252,0.397628,0.410526,0.580571,215.307155,14.603123,139.11521,15.407543,94.849176,0,3.811424,40.470323,0,11.973941,127.141269,0,0.77555,13.827573,0
d09_16_G02_1_4_T,glasshouse_b1,5489,T1,R4,T,33,15,139.72197,0.107356,54.693768,0.417466,0.435429,0.598439,276.715402,19.934426,183.509088,15.207437,124.514533,0,3.481151,54.931606,0,10.936358,172.57273,0,0.665103,19.269322,0
d09_17_G03_0_1_T,glasshouse_b1,CALINGIRI,T0,R1,T,79,55,402.284174,0.136719,163.033249,0.434792,0.435429,0.649099,789.899855,62.020112,552.716509,20.535211,381.676391,0.072571,5.010094,170.877929,0.047106,15.739675,536.828846,0.147988,1.011015,60.985083,0.024015
d09_18_G03_0_2_T,glasshouse_b1,CALINGIRI,T0,R2,T,88,70,361.95155,0.193396,139.854888,0.428228,0.435429,1.026315,695.056873,56.161218,490.373897,34.192861,313.88244,13.876249,8.234705,137.091126,10.765029,25.870088,430.684474,33.819335,1.652039,47.810801,6.698378
d09_19_G03_0_3_T,glasshouse_b1,CALINGIRI,T0,R3,T,76,46,340.841139,0.13496,131.059646,0.418465,0.435429,0.973648,668.600042,49.945281,452.159135,33.830004,301.079138,5.931997,7.885483,131.604117,4.437123,24.772974,413.446529,13.939632,1.535915,45.739557,2.669809
d09_20_G03_0_4_T,glasshouse_b1,CALINGIRI,T0,R4,T,97,59,348.083113,0.1695,134.635675,0.417525,0.435429,0.725714,680.377333,50.209185,460.208732,35.057309,312.252421,0.773383,8.43166,137.547901,0.509428,26.488841,432.119477,1.600414,1.684829,48.259618,0.264738
d09_21_G03_1_1_T,glasshouse_b1,CALINGIRI,T1,R1,T,80,46,253.75387,0.181278,94.688422,0.407575,0.435429,0.917964,494.39758,35.215964,326.907604,35.401673,216.382453,1.969744,8.56934,94.014416,1.474166,26.921377,295.354999,4.631228,1.727323,32.610737,0.877904
d09_22_G03_1_2_T,glasshouse_b1,CALINGIRI,T1,R2,T,49,23,202.710734,0.113462,78.683187,0.418549,0.435429,0.580571,400.027532,29.071098,268.000792,18.78834,183.922395,0,4.794318,80.479675,0,15.061794,252.938998,0,1.004805,28.066294,0
d09_23_G03_1_3_T,glasshouse_b1,CALINGIRI,T1,R3,T,72,56,183.144006,0.30577,68.43436,0.410191,0.435429,0.615789,349.808622,26.147956,239.485679,23.436817,159.604557,0.102631,5.691268,70.476192,0.063199,17.879644,221.407488,0.198547,1.140291,24.9771,0.030566
d09_24_G03_1_4_T,glasshouse_b1,CALINGIRI,T1,R4,T,100,66,304.633305,0.216654,114.669948,0.410743,0.435429,0.929368,592.180495,43.630268,398.341825,41.390769,261.435545,1.806992,9.998683,115.386608,1.41085,31.411789,362.497719,4.432317,2.012715,40.735117,0.882436
d09_25_G04_0_1_S,glasshouse_b1,Forrest,T0,R1,S,47,25,156.340613,0.159907,59.64965,0.418624,0.410526,0.929368,306.441334,23.419529,207.302253,21.906775,131.788185,2.645653,5.363551,58.500363,2.122443,16.850091,183.784311,6.667851,1.089318,20.969074,1.361137
d09_26_G04_0_2_S,glasshouse_b1,Forrest,T0,R2,S,29,15,127.364564,0.117772,52.386992,0.437605,0.435429,0.649099,252.680771,20.170024,177.229494,8.394268,117.666147,1.304149,2.163182,53.427125,0.823593,6.795838,167.846264,2.587392,0.456082,19.305164,0.408779
d09_27_G04_0_3_S,glasshouse_b1,Forrest,T0,R3,S,65,41,213.940383,0.191642,78.009061,0.394215,0.410526,0.598439,416.905238,28.128052,268.234362,27.551507,186.388876,0,6.470106,78.911543,0,20.326438,247.907925,0,1.264322,26.86373,0
d09_28_G04_0_4_S,glasshouse_b1,Forrest,T0,R4,S,83,55,211.079519,0.260565,77.192736,0.40236,0.410526,0.649099,406.225001,28.978462,269.935909,29.678845,180.699862,0.700812,7.130652,78.355229,0.437388,22.401603,246.160211,1.374095,1.423672,27.340277,0.214513
d09_29_G04_1_1_S,glasshouse_b1,Forrest,T1,R1,S,28,16,90.102706,0.177575,33.938049,0.40754,0.435429,0.580571,176.903596,12.478752,116.920902,9.565726,80.536981,0,2.420781,34.796298,0,7.605108,109.315793,0,0.503422,11.97533,0
d09_30_G04_1_2_S,glasshouse_b1,Forrest,T1,R2,S,21,9,79.614182,0.113045,30.404152,0.414306,0.435429,0.580571,156.839916,11.371578,104.322476,10.001154,69.613028,0,2.545683,30.661193,0,7.997498,96.324978,0,0.531245,10.840333,0
d09_31_G04_1_3_S,glasshouse_b1,Forrest,T1,R3,S,54,32,116.200801,0.275385,38.356737,0.360372,0.410526,0.580571,225.075275,13.019344,133.371764,27.822048,88.378753,0,6.569707,35.883845,0,20.639342,112.732423,0,1.29118,11.728164,0
d09_32_G04_1_4_S,glasshouse_b1,Forrest,T1,R4,S,33,17,88.182402,0.192782,31.831404,0.392,0.410526,0.580571,172.220053,11.718813,110.475387,16.588431,71.593971,0,3.790667,31.374741,0,11.908733,98.566654,0,0.727868,10.990945,0
d09_33_G05_0_1_S,glasshouse_b1,Hartog,T0,R1,S,51,25,196.191024,0.127427,70.683203,0.390594,0.410526,0.580571,387.94097,24.926997,241.71452,30.977837,165.213187,0,7.607513,69.332609,0,23.899706,217.814814,0,1.543092,23.383904,0
